"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"25.10.2005","4,540","4,540","4,540","4,540","2,07%"
"24.10.2005","4,448","4,448","4,448","4,448","1,28%"
"21.10.2005","4,392","4,392","4,392","4,392","-0,97%"
"20.10.2005","4,435","4,435","4,435","4,435","-0,76%"
"19.10.2005","4,469","4,469","4,469","4,469","-0,18%"
"18.10.2005","4,477","4,477","4,477","4,477","-0,49%"
"17.10.2005","4,499","4,499","4,499","4,499","0,40%"
"14.10.2005","4,481","4,481","4,481","4,481","0,31%"
"13.10.2005","4,467","4,467","4,467","4,467","0,49%"
"12.10.2005","4,445","4,445","4,445","4,445","1,14%"
"11.10.2005","4,395","4,395","4,395","4,395","0,76%"
"10.10.2005","4,362","4,362","4,362","4,362","0,00%"
"07.10.2005","4,362","4,362","4,362","4,362","-0,75%"
"06.10.2005","4,395","4,395","4,395","4,395","1,13%"
"05.10.2005","4,346","4,346","4,346","4,346","-0,57%"
"04.10.2005","4,371","4,371","4,371","4,371","-0,36%"
"03.10.2005","4,387","4,387","4,387","4,387","1,27%"
"30.09.2005","4,332","4,332","4,332","4,332","0,65%"
"29.09.2005","4,304","4,304","4,304","4,304","1,06%"
"28.09.2005","4,259","4,259","4,259","4,259","-0,61%"
"27.09.2005","4,285","4,285","4,285","4,285","-0,26%"
"26.09.2005","4,296","4,296","4,296","4,296","1,06%"
"23.09.2005","4,251","4,251","4,251","4,251","1,53%"
"22.09.2005","4,187","4,187","4,187","4,187","0,41%"
"21.09.2005","4,170","4,170","4,170","4,170","-1,74%"
"20.09.2005","4,244","4,244","4,244","4,244","-0,21%"
"19.09.2005","4,253","4,253","4,253","4,253","-0,61%"
"16.09.2005","4,279","4,279","4,279","4,279","1,47%"
"15.09.2005","4,217","4,217","4,217","4,217","1,13%"
"14.09.2005","4,170","4,170","4,170","4,170","0,90%"
"13.09.2005","4,133","4,133","4,133","4,133","-1,03%"
"12.09.2005","4,176","4,176","4,176","4,176","1,26%"
"09.09.2005","4,124","4,124","4,124","4,124","-0,55%"
"08.09.2005","4,147","4,147","4,147","4,147","0,14%"
"07.09.2005","4,141","4,141","4,141","4,141","0,98%"
"06.09.2005","4,101","4,101","4,101","4,101","1,41%"
"02.09.2005","4,044","4,044","4,044","4,044","0,22%"
"01.09.2005","4,035","4,035","4,035","4,035","0,52%"
"31.08.2005","4,014","4,014","4,014","4,014","-1,95%"
"30.08.2005","4,094","4,094","4,094","4,094","-1,92%"
"29.08.2005","4,174","4,174","4,174","4,174","-0,43%"
"26.08.2005","4,192","4,192","4,192","4,192","0,75%"
"25.08.2005","4,161","4,161","4,161","4,161","-0,24%"
"24.08.2005","4,171","4,171","4,171","4,171","-0,31%"
"23.08.2005","4,184","4,184","4,184","4,184","-0,64%"
"22.08.2005","4,211","4,211","4,211","4,211","0,00%"
"19.08.2005","4,211","4,211","4,211","4,211","0,12%"
"18.08.2005","4,206","4,206","4,206","4,206","-1,57%"
"17.08.2005","4,273","4,273","4,273","4,273","1,42%"
"16.08.2005","4,213","4,213","4,213","4,213","-1,73%"
"15.08.2005","4,287","4,287","4,287","4,287","0,87%"
"12.08.2005","4,250","4,250","4,250","4,250","-1,80%"
"11.08.2005","4,328","4,328","4,328","4,328","-1,55%"
"10.08.2005","4,396","4,396","4,396","4,396","0,09%"
"09.08.2005","4,392","4,392","4,392","4,392","-0,77%"
"08.08.2005","4,426","4,426","4,426","4,426","0,77%"
"05.08.2005","4,392","4,392","4,392","4,392","1,76%"
"04.08.2005","4,316","4,316","4,316","4,316","0,47%"
"03.08.2005","4,296","4,296","4,296","4,296","-1,01%"
"02.08.2005","4,340","4,340","4,340","4,340","0,56%"
"01.08.2005","4,316","4,316","4,316","4,316","0,79%"
"29.07.2005","4,282","4,282","4,282","4,282","2,12%"
"28.07.2005","4,193","4,193","4,193","4,193","-1,62%"
"27.07.2005","4,262","4,262","4,262","4,262","0,80%"
"26.07.2005","4,228","4,228","4,228","4,228","-0,52%"
"25.07.2005","4,250","4,250","4,250","4,250","0,66%"
"22.07.2005","4,222","4,222","4,222","4,222","-1,40%"
"21.07.2005","4,282","4,282","4,282","4,282","2,93%"
"20.07.2005","4,160","4,160","4,160","4,160","-0,60%"
"19.07.2005","4,185","4,185","4,185","4,185","-0,97%"
"18.07.2005","4,226","4,226","4,226","4,226","1,32%"
"15.07.2005","4,171","4,171","4,171","4,171","-0,24%"
"14.07.2005","4,181","4,181","4,181","4,181","0,46%"
"13.07.2005","4,162","4,162","4,162","4,162","0,34%"
"12.07.2005","4,148","4,148","4,148","4,148","1,20%"
"11.07.2005","4,099","4,099","4,099","4,099","0,00%"
"08.07.2005","4,099","4,099","4,099","4,099","0,76%"
"07.07.2005","4,068","4,068","4,068","4,068","-0,15%"
"06.07.2005","4,074","4,074","4,074","4,074","-0,90%"
"05.07.2005","4,111","4,111","4,111","4,111","1,38%"
"01.07.2005","4,055","4,055","4,055","4,055","3,42%"
"30.06.2005","3,921","3,921","3,921","3,921","-1,68%"
"29.06.2005","3,988","3,988","3,988","3,988","0,35%"
"28.06.2005","3,974","3,974","3,974","3,974","1,71%"
"27.06.2005","3,907","3,907","3,907","3,907","-0,46%"
"24.06.2005","3,925","3,925","3,925","3,925","-0,81%"
"23.06.2005","3,957","3,957","3,957","3,957","0,28%"
"22.06.2005","3,946","3,946","3,946","3,946","-2,50%"
"21.06.2005","4,047","4,047","4,047","4,047","-1,70%"
"20.06.2005","4,117","4,117","4,117","4,117","1,01%"
"17.06.2005","4,076","4,076","4,076","4,076","0,12%"
"16.06.2005","4,071","4,071","4,071","4,071","-0,97%"
"15.06.2005","4,111","4,111","4,111","4,111","-0,05%"
"14.06.2005","4,113","4,113","4,113","4,113","0,46%"
"13.06.2005","4,094","4,094","4,094","4,094","0,96%"
"10.06.2005","4,055","4,055","4,055","4,055","2,61%"
"09.06.2005","3,952","3,952","3,952","3,952","0,33%"
"08.06.2005","3,939","3,939","3,939","3,939","0,82%"
"07.06.2005","3,907","3,907","3,907","3,907","-1,24%"
"06.06.2005","3,956","3,956","3,956","3,956","-0,63%"
"03.06.2005","3,981","3,981","3,981","3,981","1,74%"
"02.06.2005","3,913","3,913","3,913","3,913","0,59%"
"01.06.2005","3,890","3,890","3,890","3,890","-2,43%"
"31.05.2005","3,987","3,987","3,987","3,987","-2,06%"
"27.05.2005","4,071","4,071","4,071","4,071","-0,32%"
"26.05.2005","4,084","4,084","4,084","4,084","-0,15%"
